TFs;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
C22orf15;1,633121322;1,822298757;1,882346097;0,968099735;0,332994562;0,999961969
PLA2G1B;9,265932923;-1,619336384;0,795712343;-2,035077623;0,041843063;0,842862677
PKHD1;1,313307486;-2,335701401;1,80482543;-1,294142559;0,195616183;0,999961969
GRIK1;2,286606602;1,58428431;1,060663897;1,493672326;0,135261285;0,999961969
TCEA2;359,7454871;1,844128737;0,226697865;8,134742407;4,13E-16;6,09E-13
LRRC34;2,110029115;-1,588478187;1,288047988;-1,23324457;0,217484531;0,999961969
C3AR1;0,996079604;-2,078882281;2,560087848;-0,812035525;0,416771247;0,999961969
IL16;1,258266097;-2,789184338;1,672224341;-1,667948654;0,09532592;0,999961969
CARNS1;1,975775047;2,106398776;1,599401156;1,316992155;0,187841254;0,999961969
FADS6;1,655957721;1,749302869;1,61943789;1,080191392;0,280056961;0,999961969
GCSAM;1,356746661;-2,993136325;1,654662223;-1,808910775;0,070464866;0,977081088
MYO1H;1,488965609;-3,475595554;1,584360769;-2,193689481;0,028257741;0,720057128
FUT1;22,11549583;2,533063827;0,834210156;3,036481647;0,002393567;0,194950876
ABO;1,536337146;2,198576177;1,490722103;1,474839726;0,140255638;0,999961969
TAC4;2,216500174;-2,12701751;1,282846715;-1,658044945;0,097308395;0,999961969
CEP295NL;1,748229488;2,607799215;1,63542336;1,594571338;0,110808126;0,999961969
TUBAL3;2,732698146;-1,589181567;0,951684732;-1,669861365;0,094946796;0,999961969
TRIM73;2,428485453;-1,702160511;1,325730216;-1,283941854;0,199162301;0,999961969
MYLPF;1,583645632;2,854930165;2,006513219;1,422831476;0,154785014;0,999961969
HCLS1;1,063943635;2,419683536;1,9509328;1,240270057;0,214875523;0,999961969
MAPK15;4,126815898;1,626233908;0,930592406;1,747525445;0,080546235;0,999961969
MAFA;2,935363477;2,154767996;0,954965082;2,256384067;0,024046589;0,667871361
GABRR3;8,310640716;-1,722338838;0,895343909;-1,923661759;0,054396994;0,891913133
SDR42E2;2,166213938;-2,584661735;1,334858074;-1,936282055;0,052833165;0,885951299
C1QTNF8;2,784376673;3,35135661;1,567380761;2,138189197;0,032501391;0,749111918
FAM110C;12,71728738;1,535000184;0,515025185;2,980437129;0,002878373;0,212184172
TMEM121;3,034106343;4,330944508;1,653989811;2,618483185;0,008832164;0,401561011
KCNQ5;1,509952048;1,758973584;1,667364611;1,054942376;0,29145168;0,999961969
RTN4RL1;1,610907697;1,964214168;1,642447724;1,195906657;0,231732987;0,999961969
SLC51B;309,1116807;4,165982495;0,318743967;13,06999639;4,89E-39;6,49E-35
LCE1E;1,106662337;3,339603872;1,777160607;1,879179551;0,060219981;0,917131316
FSCN2;2,650244761;1,960989981;1,199241034;1,635192531;0,102008693;0,999961969
WDR86;1,641318394;2,01777023;1,40847802;1,43258908;0,151975304;0,999961969
LDLRAD2;1,566352735;1,708453075;1,537497791;1,111190588;0,266486322;0,999961969
C19orf67;3,804307652;1,74243364;0,960775944;1,813569179;0,069744079;0,977081088
QRFP;2,66897933;-2,482987146;1,267139584;-1,95952141;0,050051755;0,884865977
DRICH1;2,958941646;1,871354656;1,317650142;1,420221193;0,155543296;0,999961969
ELAVL3;2,314652114;2,352478152;1,636572146;1,437442375;0,150592336;0,999961969
SLC22A25;3,780094083;-2,337321368;1,331608027;-1,7552623;0,079214452;0,999961969
ZNF665;1,289734332;2,3754107;1,687482367;1,407665494;0,159230144;0,999961969
NPIPB13;1,4812046;-2,629034004;1,719943997;-1,528557912;0,126374077;0,999961969
STUM;0,80139414;2,756810215;2,407824647;1,144938116;0,252234793;0,999961969
H2BC18;1,318163797;-1,91502245;1,513923776;-1,264939808;0,205892906;0,999961969
C9orf57;1,371528327;2,314593082;1,828982081;1,265508889;0,205688964;0,999961969
FAM71F2;2,414965382;-2,956921533;1,519631997;-1,945814209;0,051677061;0,885775796
TMSB4X;2,439079985;2,182556111;1,285963389;1,697214811;0,089656056;0,999961969
KLRC3;2,42141176;-2,591301601;1,506923347;-1,719597487;0,085505633;0,999961969
RNASE13;3,951603907;1,662326502;1,016370445;1,635551792;0,101933427;0,999961969
MUC5AC;2,579806155;-2,607805071;1,464508608;-1,780668994;0,074966541;0,986378396
MAGEA3;2,715753399;1,80181898;1,180532332;1,52627669;0,126940971;0,999961969
APOC4-APOC2;3,462070564;1,878370163;1,06318521;1,766738425;0,077272045;0,994284663
CROCC2;2,245164113;2,620786609;1,744304255;1,502482495;0,132972545;0,999961969
PPP5D1;2,875540844;-2,362326805;1,084935116;-2,177389938;0,029451486;0,726716698
SBK3;12,09197503;2,698845971;0,638481685;4,226974764;2,37E-05;0,005823105
LYRM9;2,162081807;-1,858365033;1,115900294;-1,665350428;0,095842863;0,999961969
BGLAP;2,900928983;-1,555823174;1,00608267;-1,54641683;0,122003932;0,999961969
CCDC169;3,166390319;2,001107058;1,117159847;1,791245061;0,073253978;0,978390152
GSTA1;2,970164609;-2,088588571;1,615710661;-1,292674871;0,196123532;0,999961969
GSTA2;1,618102644;-3,334480549;1,663709234;-2,004244781;0,045043846;0,869503623
BCKDHA;1,713746647;2,7573259;1,565863953;1,760897487;0,078255755;0,998891854
SERPINE3;1,888695231;3,988890614;1,529330305;2,608259707;0,009100388;0,410941332
KRTAP5-9;1,631569693;-3,334120066;1,605158575;-2,077128152;0,037789733;0,793823565
ZHX1-C8orf76;3,10644416;1,550235191;1,044630871;1,484002851;0,137808164;0,999961969
NOTCH2NLA;1,205026149;-2,641009485;1,737967532;-1,519596561;0,128612403;0,999961969
PCDHB16;3,143047427;-1,887272561;1,183560874;-1,594571603;0,110808067;0,999961969
ARHGAP23;1,283481576;1,50191187;1,506097542;0,997220849;0,318657323;0,999961969
