TFs;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
TSPAN12;4,728546393;-2,217891523;0,849225944;-2,611662465;0,009010316;NA
TSPAN7;1,981396493;-1,706554713;1,484839338;-1,149319438;0,250424286;NA
TSPO;11,47948819;1,677615666;0,53937048;3,11032162;0,001868837;0,030359744
TUBB4A;3,635733447;2,178889465;1,248501234;1,745204095;0,080949349;NA
UBE2Q2L;0,758591838;2,662214521;3,328577583;0,799805459;0,42382352;NA
UGT2B15;4,700615872;2,084136364;1,427621777;1,45986591;0,14432693;NA
UST;1,587967225;-1,546133406;1,331288565;-1,161381121;0,245486943;NA
VGLL3;2,076295091;-1,892236611;1,559546991;-1,213324524;0,22500577;NA
VXN;1,396973831;1,867967636;1,488232884;1,255158152;0,209421354;NA
WNT7B;8,005137266;1,817594152;0,715282037;2,541087372;0,01105083;0,099391111
XKRX;8,781647466;-2,09054749;0,608906788;-3,433279988;0,000596326;0,013463939
ZCCHC12;1,289555006;-2,80702048;1,693835641;-1,657197671;0,097479517;NA
ZDHHC19;1,090621311;-1,648702283;1,940861247;-0,849469423;0,395620138;NA
ZNF423;1,236238425;3,300705988;1,660766302;1,987459634;0,046871485;NA
ZNF540;5,313592242;-1,576956193;0,895650734;-1,760682075;0,078292228;NA
ZNF665;1,289734332;2,105901451;1,707518081;1,233311363;0,21745962;NA
