TFs;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;
ADGRG3;120,7370168;1,588831776;0,257452061;6,171369424;6,77E-10;8,13E-08;
GK;858,7861743;1,588532812;0,177267926;8,961197053;3,21E-19;1,64E-16;
CSDC2;2,576454541;1,582978405;1,094591199;1,446182289;0,14812608;NA;
S100A14;87,91142291;1,580696864;0,196735853;8,034615132;9,39E-16;3,03E-13;
TMEM266;9,632880503;1,576216628;0,638328782;2,469286474;0,013538279;0,083353325;
APCDD1;1,630264763;1,562893738;1,591326727;0,982132526;0,326034563;NA;
WNT7B;8,005137266;1,559590268;0,725495834;2,1496888;0,031579839;0,150551716;
AADAC;7,736836365;1,558219059;0,647970878;2,404767117;0,016182775;0,094593919;
TMPRSS9;166,2964422;1,55817743;0,186633531;8,348861131;6,89E-17;2,56E-14;
LDHAL6A;3,687275818;1,557737814;0,892168174;1,746013655;0,080808579;NA;
NAGS;176,9281356;1,553007979;0,246473678;6,300908043;2,96E-10;3,98E-08;
ODAD4;1,593741449;1,552355603;1,255434788;1,236508354;0,216269662;NA;
TAL1;2,746563567;1,539526589;1,359857938;1,132123104;0,257582683;NA;
CYP2C8;2,119792301;1,525356477;1,386140384;1,100434339;0,271142924;NA;
BMERB1;7,020758508;1,524369594;0,652630693;2,335730775;0,019505278;0,107838207;
HSD17B14;4,003235361;1,524169298;0,849886437;1,793379953;0,072912191;NA;
NACA2;1,450636349;1,521962649;1,573942212;0,966974923;0,33355657;NA;
PRKAG2;3,39382049;1,521476978;0,933018464;1,630704039;0,102952784;NA;
P2RX1;2,185418587;1,514070737;1,464217139;1,034047954;0,301113746;NA;
PTHLH;5,234225952;1,512673894;0,938768573;1,611338445;0,107105976;0,328120681;
SLC25A47;10,47141504;1,510025161;0,652445003;2,314409878;0,02064525;0,111917541;
SH2D5;114,2809398;1,505101489;0,196500046;7,659547767;1,87E-14;4,97E-12;
ABO;1,536337146;1,504373603;1,536649748;0,97899577;0,32758207;NA;
CP;3792,887446;1,500722465;0,318401979;4,713295032;2,44E-06;0,000101032;
KCNQ4;2,116526738;1,500037569;1,251271168;1,198810942;0,230601467;NA;
MAP2K6;7,293335645;-1,500221294;0,680937507;-2,203170304;0,027582748;0,137308263;
CLDN16;1,756498661;-1,500700599;1,215204322;-1,234936851;0,216854007;NA;
ZNF781;19,5795312;-1,500866696;0,484198527;-3,099692819;0,001937214;0,020664745;
ACVR1C;16,45893838;-1,50611536;0,508304831;-2,963016028;0,003046407;0,028737509;
TRIM17;2,595431837;-1,507357139;1,181427649;-1,275877655;0,201998771;NA;
LTB;2,39574589;-1,513485311;1,072595702;-1,411049204;0,158230106;NA;
TUSC3;11,40218261;-1,526267568;0,565307163;-2,699890727;0,006936225;0,051824903;
PCDHGA4;1,844752338;-1,531044042;1,248832277;-1,225980518;0,220206007;NA;
CAMKV;1,364234865;-1,54809085;1,86755398;-0,82894035;0,407138161;NA;
MOV10L1;2,468619477;-1,548979184;1,233309998;-1,255952831;0,209133072;NA;
GUCY2C;2,064780453;-1,552962723;1,398784559;-1,110222953;0,266902964;NA;
BHMT;27,02998691;-1,553086282;0,361301448;-4,298588587;1,72E-05;0,000506262;
EFR3B;50,70463328;-1,554985773;0,317305525;-4,900594695;9,55E-07;4,50E-05;
MIOX;1,792734947;-1,561863697;1,655169422;-0,943627689;0,345359938;NA;
CCDC87;6,689392874;-1,563189119;0,840311738;-1,860249059;0,062850297;0,235227609;
BPIFB6;28,67226592;-1,57309551;0,328376357;-4,790526103;1,66E-06;7,17E-05;
OSBPL1A;1,991707284;-1,575853258;1,401842377;-1,124130133;0,260957824;NA;
MIXL1;402,3131168;-1,58710771;0,252293462;-6,290720723;3,16E-10;4,12E-08;
SIGLEC10;1,209296258;-1,595228462;1,83963187;-0,86714548;0,385862304;NA;
ERP27;72,27630422;-1,598255253;0,279276056;-5,722850985;1,05E-08;9,10E-07;
TNNC2;2,981236555;-1,599703324;1,084097367;-1,475608532;0,140049013;NA;
FGF11;2,828901539;-1,601136013;1,238254957;-1,293058432;0,19599085;NA;
IL12RB2;1,258402903;-1,601347956;1,95532157;-0,818969105;0,412804041;NA;
ST8SIA5;3,601100371;-1,604925179;1,108739748;-1,447522001;0,147750779;NA;
AKAP6;18,93201335;-1,612132835;0,410464901;-3,927577806;8,58E-05;0,001840239;
ANKRD44;4,632189442;-1,614386061;0,865127034;-1,866068215;0,062031822;NA;
ASIP;4,770735004;-1,616186086;0,927214606;-1,743055033;0,081324002;0,275645305;
GPR39;5,629872226;-1,623979567;0,695159438;-2,336125323;0,019484711;0,107773157;
NSD1;1,853624972;-1,625588702;1,664089464;-0,976863767;0,328636602;NA;
