TFs;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;
WFIKKN2;2,254549739;2,144111486;1,353213284;1,584459383;0,113089218;NA;
WNT7B;8,005137266;1,608937813;0,719401968;2,236493484;0,025319464;0,1756535;
XKRX;8,781647466;-1,763082066;0,568700858;-3,100192379;0,00193395;0,030598385;
ZBTB32;2,816250079;1,580573611;0,887294747;1,781339984;0,074856926;NA;
ZCCHC12;1,289555006;-2,886067735;1,693835641;-1,703865278;0,088406259;NA;
ZDHHC19;1,090621311;-2,689544059;1,940861247;-1,385747725;0,16582395;NA;
ZHX1-C8orf76;3,10644416;1,57751193;1,039050327;1,518224757;0,128957748;NA;
ZNF221;10,00423801;-1,601259072;0,646983061;-2,4749629;0,013325002;0,118330653;
ZNF423;1,236238425;2,207886705;1,764043333;1,251605709;0,210713573;NA;
ZNF665;1,289734332;1,618955649;1,746366958;0,927042075;0,353904689;NA;
